Ticker, CompanyName, MarketCap, PERatio, TrailingPE, ForwardPE, DividendPerShare, DividendYield, GrossProfitTTM, RevenueTTM, AnalystTargetPrice 
SMTC, Semtech Corporation, 4720539648, 79.8022, 79.8022, 34.4828, None, 0, 363549000, 595116992, 83.67 
STAA, STAAR Surgical Company, 4501428736, 805.5833, 805.5833, 285.7143, None, 0, 119562000, 163460000, 119 
PLUG, Plug Power Inc, 22573101056, None, 0, 0, None, 0, -418333000, -100469000, 61.63 
BEKE, KE Holdings Inc, 75781758976, None, 0, 0, None, None, 16859857000, 0, 72.73 
ETRN, Equitrans Midstream Corporation, 3579930880, 7.7904, 7.7904, 6.1312, 0.6, 0.0766, 1356716000, 1510824960, 9.91 
PTON, Peloton Interactive Inc, 31897511936, 94.7863, 94.7863, 112.3596, None, 0, 836700000, 2954299904, 166.35 
PINS, Pinterest Inc, 45887881216, 196.6176, 196.6176, 98.0392, None, 0, 1243300000, 1692658048, 90.9 
UTZ, Utz Brands Inc, 3634231552, 154.9231, 154.9231, 40.8163, 0.24, 0.0095, 332738000, 964310016, 25.22 
RCUS, Arcus Biosciences Inc, 2627380736, None, 0, 0, None, 0, -81831000, 77517000, 53.2 
RETA, Reata Pharmaceuticals Inc, 4186996224, None, 0, 0, None, 0, -150061000, 9019000, 243.38 
